t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,tau_ext0,tau_ext1,tau_ext2,tau_ext3,tau_ext4,tau_ext5,tau_ext6,tau_cmd0,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,sigma_min,tau_ext_max
0.00000000,0.00035383,-0.78629196,-0.00014980,-2.23606934,0.00401511,1.58467616,0.78553109,-0.00078194,-0.04700797,-0.00219501,0.40999578,0.01948435,0.05419976,0.00081626,-0.11398025,-1.25617506,-0.37164883,0.91837439,0.50669073,0.30969433,-0.05085873,-0.01913427,-1.88715546,-0.55472558,1.81404741,0.40484152,0.57766860,-0.03991116,0.21650037,1.25617506
0.00100015,0.00035789,-0.78634619,-0.00015497,-2.23566565,0.00403608,1.58472877,0.78553457,0.00141449,-0.04911665,-0.00257039,0.40722468,0.01928481,0.05437342,0.00121060,-0.11287973,-1.26356662,-0.36918278,0.91923559,0.50824048,0.31009172,-0.05069367,-0.03622920,-1.35241193,-0.53399459,1.31193988,0.40429499,0.56805809,-0.04281109,0.21646968,1.26356662
0.00200029,0.00035534,-0.78639164,-0.00015426,-2.23525612,0.00405636,1.58478194,0.78552992,0.00005670,-0.04806335,-0.00117363,0.40853257,0.01914971,0.05409251,-0.00073998,-0.11215259,-1.26899133,-0.36700277,0.92107036,0.50982400,0.31056843,-0.05049551,-0.00191834,-0.86321718,-0.53722342,0.75107513,0.40340630,0.56128307,-0.02886928,0.21643854,1.26899133
0.00300044,0.00035515,-0.78644244,-0.00015923,-2.23485603,0.00407986,1.58483068,0.78553291,-0.00013893,-0.04938549,-0.00235976,0.40647123,0.02034773,0.05226005,0.00020614,-0.11184100,-1.27295156,-0.36557199,0.92354200,0.51143641,0.31100596,-0.05028605,0.01557766,-0.34063181,-0.50497655,0.51060742,0.39298661,0.56530510,-0.03558107,0.21640809,1.27295156
0.00400058,0.00035351,-0.78649213,-0.00015856,-2.23445283,0.00410022,1.58487978,0.78553442,-0.00117839,-0.04935524,-0.00098708,0.40609848,0.01994946,0.05155490,-0.00001061,-0.11147632,-1.27592209,-0.36444356,0.92670649,0.51311481,0.31139879,-0.05006767,0.04590272,-0.17564074,-0.50825388,0.42490272,0.39397693,0.56111891,-0.03406071,0.21637739,1.27592209
0.00500073,0.00035620,-0.78654539,-0.00016383,-2.23403975,0.00412369,1.58493580,0.78553214,-0.00007762,-0.05037082,-0.00232388,0.40702394,0.02044349,0.05170501,-0.00129004,-0.11100112,-1.27729027,-0.36354666,0.92982692,0.51483338,0.31173643,-0.04985571,0.04550042,-0.14719842,-0.47456129,0.31927764,0.38853501,0.55022481,-0.02489985,0.21634591,1.27729027
0.00600088,0.00035443,-0.78659271,-0.00015896,-2.23364510,0.00414218,1.58498845,0.78553593,-0.00045373,-0.04949694,0.00012656,0.40483020,0.01979047,0.05188428,-0.00032970,-0.11082632,-1.27716199,-0.36354360,0.93234315,0.51651668,0.31203582,-0.04967381,0.06723831,-0.14367964,-0.49358452,0.25877870,0.39146578,0.53916273,-0.03171454,0.21631582,1.27716199
0.00700102,0.00035822,-0.78664211,-0.00016352,-2.23323696,0.00416331,1.58504340,0.78553138,0.00122259,-0.04900424,-0.00100143,0.40474745,0.01938526,0.05342349,-0.00137648,-0.11156154,-1.27799827,-0.36553547,0.93556565,0.51810575,0.31246994,-0.04953521,0.05921642,-0.13650107,-0.46330321,0.16667162,0.39248730,0.51809131,-0.02404963,0.21628468,1.27799827
0.00800117,0.00035453,-0.78668723,-0.00016613,-2.23283668,0.00417782,1.58510027,0.78553289,-0.00042762,-0.04801771,-0.00127330,0.40567367,0.01798820,0.05415459,-0.00056415,-0.11289854,-1.28140970,-0.36880042,0.93978884,0.51955132,0.31308186,-0.04944238,0.09929991,-0.13757023,-0.44405180,0.06066300,0.40083112,0.50226584,-0.02968251,0.21625411,1.28140970
0.00900131,0.00035283,-0.78673074,-0.00017235,-2.23243171,0.00418876,1.58516046,0.78553289,-0.00052150,-0.04660231,-0.00347956,0.40575225,0.01539589,0.05735318,-0.00101460,-0.11341385,-1.28761958,-0.37064809,0.94397061,0.52083195,0.31375807,-0.04937333,0.11718903,-0.14473117,-0.39854159,-0.03449389,0.41770676,0.46875630,-0.02639396,0.21622316,1.28761958
0.01000146,0.00035654,-0.78677366,-0.00017244,-2.23203036,0.00419536,1.58522298,0.78553607,0.00102022,-0.04579344,-0.00266578,0.40395798,0.01281777,0.06017606,0.00011288,-0.11256100,-1.29746310,-0.36985830,0.94816153,0.52192460,0.31446780,-0.04930897,0.11231096,-0.14312147,-0.39570146,-0.10374546,0.43476646,0.43750217,-0.03430037,0.21619247,1.29746310
0.01100161,0.00035654,-0.78681356,-0.00017074,-2.23162878,0.00419604,1.58528686,0.78553395,0.00091655,-0.04394635,-0.00077100,0.40398989,0.01000310,0.06091363,-0.00065198,-0.11154178,-1.31176110,-0.36861535,0.95309007,0.52274698,0.31522383,-0.04925178,0.13150877,-0.15727906,-0.40747722,-0.19921229,0.45381765,0.42045984,-0.02867894,0.21616174,1.31176110
0.01200175,0.00035654,-0.78684884,-0.00017711,-2.23123723,0.00419601,1.58534927,0.78553097,0.00075808,-0.04184605,-0.00249746,0.39970100,0.00738410,0.06151815,-0.00204500,-0.11104430,-1.33222197,-0.36853942,0.96022141,0.52332001,0.31605905,-0.04920025,0.15102964,-0.17346863,-0.36892240,-0.23374178,0.47148466,0.40426913,-0.01861924,0.21613175,1.33222197
0.01300190,0.00035655,-0.78687186,-0.00017556,-2.23084249,0.00419219,1.58541131,0.78552998,0.00026301,-0.03638247,-0.00088989,0.39980180,0.00452990,0.06133625,-0.00225259,-0.11058246,-1.36301904,-0.36893937,0.97209752,0.52381210,0.31704734,-0.04913328,0.17622449,-0.23954747,-0.37693371,-0.33048588,0.49107494,0.39327814,-0.01693793,0.21610151,1.36301904
0.01400204,0.00036081,-0.78690090,-0.00017564,-2.23044797,0.00419208,1.58546731,0.78553763,0.00101593,-0.03397422,-0.00066696,0.39762996,0.00338241,0.06022921,0.00021766,-0.11025576,-1.40740013,-0.37017359,0.98987423,0.52430874,0.31814733,-0.04902019,0.18347396,-0.26276709,-0.36631333,-0.39627616,0.49852003,0.38872625,-0.03442239,0.21607126,1.40740013
0.01500219,0.00036010,-0.78692283,-0.00017181,-2.23005074,0.00419326,1.58552327,0.78553548,0.00068092,-0.03089188,0.00112199,0.39598698,0.00230359,0.05859948,-0.00044429,-0.11070533,-1.46436633,-0.37349293,1.01273160,0.52479521,0.31926076,-0.04885598,0.20712471,-0.29674621,-0.37741453,-0.47033425,0.50547129,0.38754536,-0.02947707,0.21604079,1.46436633
0.01600234,0.00036370,-0.78694188,-0.00017182,-2.22966611,0.00419315,1.58558543,0.78552946,0.00156123,-0.02740399,0.00025423,0.39332527,0.00157368,0.05899262,-0.00221251,-0.11215436,-1.53190990,-0.37917100,1.03980520,0.52527095,0.32037708,-0.04867083,0.21304132,-0.33673334,-0.35217377,-0.52932503,0.51002044,0.37164045,-0.01658768,0.21601127,1.53190990
0.01700248,0.00036275,-0.78695869,-0.00017568,-2.22928261,0.00419783,1.58564729,0.78553074,0.00056105,-0.02375654,-0.00124723,0.38998662,0.00210878,0.05891453,-0.00059495,-0.11383730,-1.60956924,-0.38532730,1.07101688,0.52581015,0.32155775,-0.04847163,0.24607428,-0.37927344,-0.31745791,-0.57938134,0.50549418,0.35877112,-0.02775137,0.21598181,1.60956924
0.01800263,0.00036567,-0.78697782,-0.00017568,-2.22889427,0.00419975,1.58570773,0.78554066,0.00088992,-0.02288349,-0.00077918,0.38850225,0.00216424,0.05952316,0.00204118,-0.11481170,-1.69482527,-0.38989076,1.10521745,0.52645693,0.32278370,-0.04823012,0.26075436,-0.38556966,-0.31059914,-0.65661289,0.50452094,0.34072919,-0.04645303,0.21595196,1.69482527
0.01900277,0.00036227,-0.78699228,-0.00017747,-2.22851279,0.00419918,1.58576972,0.78553548,0.00012281,-0.02041009,-0.00098733,0.38751119,0.00239027,0.05975149,-0.00019455,-0.11499203,-1.78190477,-0.39280239,1.13906877,0.52711232,0.32385349,-0.04795912,0.29166603,-0.41483724,-0.29413540,-0.74057772,0.50248754,0.32501456,-0.03028643,0.21592262,1.78190477
0.02000292,0.00036250,-0.78701107,-0.00017955,-2.22812498,0.00420305,1.58583564,0.78553340,-0.00032996,-0.01987034,-0.00124248,0.38660059,0.00251096,0.06216305,-0.00036651,-0.11435759,-1.86537324,-0.39420677,1.16909489,0.52765267,0.32451685,-0.04771424,0.31813296,-0.41804015,-0.27719754,-0.82697951,0.50100060,0.29347186,-0.02870372,0.21589277,1.86537324
0.02100307,0.00037122,-0.78702403,-0.00017747,-2.22775248,0.00420455,1.58589931,0.78553180,0.00198236,-0.01754563,0.00026368,0.38308969,0.00223055,0.06234023,-0.00076072,-0.11347243,-1.94250482,-0.39507780,1.19398436,0.52797202,0.32468627,-0.04751365,0.30533070,-0.44511696,-0.28570518,-0.87598435,0.50247200,0.27751611,-0.02558831,0.21586409,1.94250482
0.02200321,0.00036746,-0.78704852,-0.00018519,-2.22737800,0.00420242,1.58596235,0.78553405,0.00078479,-0.01941290,-0.00264618,0.38021507,0.00066608,0.06292044,0.00045718,-0.11288720,-2.01166713,-0.39598885,1.21413998,0.52803611,0.32443624,-0.04732577,0.34285490,-0.41485772,-0.23181497,-0.93488928,0.51307146,0.25834092,-0.03392661,0.21583523,2.01166713
0.02300336,0.00037557,-0.78706890,-0.00018341,-2.22700433,0.00420175,1.58602240,0.78553151,0.00368982,-0.01967806,-0.00138407,0.37748881,0.00033454,0.06230420,-0.00098121,-0.11237620,-2.06933677,-0.39595303,1.22920799,0.52787014,0.32378549,-0.04713402,0.32240357,-0.40724261,-0.23733700,-0.99637678,0.51504476,0.24744179,-0.02342401,0.21580642,2.06933677
0.02400350,0.00037860,-0.78709082,-0.00018346,-2.22664331,0.00420102,1.58607369,0.78553218,0.00345809,-0.02035940,-0.00053786,0.37180106,-0.00008613,0.05956342,-0.00000620,-0.11269634,-2.11390072,-0.39622292,1.24004622,0.52747248,0.32285695,-0.04695218,0.34679764,-0.39265883,-0.23634855,-1.01579003,0.51765831,0.25162800,-0.02996587,0.21577858,2.11390072
