t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,tau0,tau1,tau2,tau3,tau4,tau5,tau6
0.000000000000000000e+00,0.000000000000000000e+00,-7.850000000000000311e-01,0.000000000000000000e+00,-2.355999999999999872e+00,0.000000000000000000e+00,1.570999999999999952e+00,7.850000000000000311e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.220446049250313081e-16,-3.180824305444683642e+00,-6.850747565644559334e-01,2.008722847768874331e+01,1.177199975578971713e+00,1.684180799999999811e+00,0.000000000000000000e+00
1.000146005832399819e-03,5.207612504059285398e-09,-7.850000047874273745e-01,1.683978239686145370e-10,-2.356000012698288515e+00,3.688510870325285015e-10,1.570999991597021417e+00,7.850000003118700054e-01,1.561005848949842926e-05,-1.434958410168579899e-05,5.039264279310623173e-07,-3.806073452439515608e-05,1.105409936814106953e-06,-2.518678017240203281e-05,9.348755564012872491e-07,3.117358313321332702e-02,-2.865259106599786498e-02,1.002934912725304654e-03,-7.599612720094964247e-02,2.206571707252202603e-03,-5.029233449991284133e-02,1.867087521057146562e-03,4.955067997869130186e-02,-3.104804847656398969e+00,-6.499985791273082958e-01,1.996118426578734883e+01,1.178222660192643323e+00,1.607302998294875884e+00,-1.801020679028091445e-02
2.000292011664799637e-03,4.157694513526925718e-08,-7.850000382146423705e-01,1.337641512133910345e-09,-2.356000101357844212e+00,2.942957851123633124e-09,1.570999932923917708e+00,7.850000024901786499e-01,6.227241467752014860e-05,-5.722887733931135689e-05,1.996636330639022770e-06,-1.517862680091209724e-04,4.405947216305522027e-06,-1.004517902632713844e-04,3.729944396348046015e-06,6.209563907441866676e-02,-5.705120416375326908e-02,1.977294907039946290e-03,-1.513078198881283032e-01,4.389625219668163297e-03,-1.001420395716689088e-01,3.719849562413087354e-03,9.867845243664463695e-02,-3.029472546029830404e+00,-6.152414000312484976e-01,1.983627346863369212e+01,1.179244568410096061e+00,1.531112661404357755e+00,-3.586595920971735740e-02
3.000438017497199239e-03,1.400391391045091506e-07,-7.850001286886091334e-01,4.482383932318971395e-09,-2.356000341312511015e+00,9.906017051751833679e-09,1.570999774116325742e+00,7.850000083882321400e-01,1.397358346561507431e-04,-1.283842117636507731e-04,4.449600579833325641e-06,-3.404930073839504195e-04,9.878124545437391631e-06,-2.253529393877136194e-04,8.370897293697200444e-06,9.276682774432500056e-02,-8.519653339448586549e-02,2.923179892806215818e-03,-2.259369605366335632e-01,6.549229198408964767e-03,-1.495503213786423813e-01,5.558322809035047378e-03,1.473844483730850641e-01,-2.954824858360933337e+00,-5.808023820276879690e-01,1.971249303569192080e+01,1.180265663183228231e+00,1.455607726224293241e+00,-5.356767272316691197e-02
4.000584023329599274e-03,3.312743950898418557e-07,-7.850003043629341093e-01,1.054879462815684067e-08,-2.356000807213380455e+00,2.341826906668324255e-08,1.570999465751434121e+00,7.850000198450435285e-01,2.477497445345371745e-04,-2.275626136280407418e-04,7.834389971673134592e-06,-6.034992423286070131e-04,1.749852330235889154e-05,-3.994493430003157215e-04,1.484346171262913147e-05,1.231878090636413653e-01,-1.130892728594153490e-01,3.840689779886402849e-03,-2.998854316215631699e-01,8.685452304635689694e-03,-1.985183860842074099e-01,7.382543945890250765e-03,1.956697945427499918e-01,-2.880859264776026940e+00,-5.466806904884249363e-01,1.958983991318947915e+01,1.181285886483192327e+00,1.380786129857104694e+00,-7.111576224941136559e-02
5.000730029161999310e-03,6.457126333499412846e-07,-7.850005931385605207e-01,2.045465975812977600e-08,-2.356001573030676255e+00,4.561656657318395756e-08,1.570998958846777427e+00,7.850000386853699386e-01,3.860642304388874632e-04,-3.545118033883802979e-04,1.212267522676731499e-05,-9.401251452727633169e-04,2.724379353640518859e-05,-6.223013228951451009e-04,2.313340180764764708e-05,1.533592429530767076e-01,-1.407301166597613729e-01,4.729924478142800461e-03,-3.731551156180147877e-01,1.079836319950942466e-02,-2.470474398517381320e-01,9.192549657945921215e-03,2.435356136339280608e-01,-2.807573267168863129e+00,-5.128754932608520223e-01,1.946831104420192204e+01,1.182305159959852858e+00,1.306645809644132239e+00,-8.851064220300311480e-02
6.000876034994398478e-03,1.113534153837520049e-06,-7.850010226644615896e-01,3.508948203460850778e-08,-2.356002712055635495e+00,7.861444322923243121e-08,1.570998204859029634e+00,7.850000667197486459e-01,5.544300385124709520e-04,-5.089801957031309153e-04,1.728622699017444607e-05,-1.349692771396042304e-03,3.909065396809746200e-05,-8.934704072057502887e-04,3.322651842357999467e-05,1.832817893333399950e-01,-1.681197588967435486e-01,5.590983897437696096e-03,-4.457478950010860808e-01,1.288803054419124933e-02,-2.951386888446086432e-01,1.098837663016928590e-02,2.909830244436240054e-01,-2.734964388644710809e+00,-4.793859605254433554e-01,1.934790336873597383e+01,1.183323385592388366e+00,1.233184703197377940e+00,-1.057527265351619200e-01
7.001022040826798513e-03,1.764670296312757652e-06,-7.850016203383365365e-01,5.531458066289155905e-08,-2.356004296902395101e+00,1.245021823547320089e-07,1.570997155682796187e+00,7.850001057445340491e-01,7.525985749156186315e-04,-6.907168994333168525e-04,2.329691583140284635e-05,-1.831526058628018009e-03,5.301589198914294837e-05,-1.212519330405161791e-03,4.510864909557691190e-05,2.129561081251403476e-01,-1.952588936715816126e-01,6.423967947633381533e-03,-5.176656522458746856e-01,1.495452299984224853e-02,-3.427933392261930945e-01,1.277006154752756764e-02,3.380131420498543315e-01,-2.663030172971422527e+00,-4.462112646555294604e-01,1.922861382381108086e+01,1.184340446331106023e+00,1.160400748430673090e+00,-1.228424287736866738e-01
8.001168046659198549e-03,2.628804100456727555e-06,-7.850024133073032484e-01,8.196319128024443275e-08,-2.356006399509870342e+00,1.853468856127232308e-07,1.570995763649410071e+00,7.850001575419344180e-01,9.803219058257222999e-04,-8.994717176425248272e-04,3.012671224441051352e-05,-2.384950827648213683e-03,6.899636366243485687e-05,-1.579012033305890461e-03,5.876566804911251995e-05,2.423828592491865941e-01,-2.221482150854952597e-01,7.228976538592147248e-03,-5.889102698274781833e-01,1.699790922762350540e-02,-3.900125971598659147e-01,1.453764109498799015e-02,3.846270779810952445e-01,-2.591768184037531508e+00,-4.133505800793337293e-01,1.911043934353937956e+01,1.185356206730517226e+00,1.088291883590310594e+00,-1.397801620618496221e-01
9.001314052491597717e-03,3.735370965984822208e-06,-7.850034284685937225e-01,1.158405658949388892e-07,-2.356009091143642653e+00,2.631925416905960425e-07,1.570993981525722782e+00,7.850002238800486420e-01,1.237352757437234618e-03,-1.134995147596903203e-03,3.774768664760516505e-05,-3.009294781886100601e-03,8.700899372205236253e-05,-1.992513663059926853e-03,7.418348619998438450e-05,2.715627026261878130e-01,-2.487884172397039906e-01,8.006109580176284587e-03,-6.594836302209944323e-01,1.901825788869610304e-02,-4.367976688090007831e-01,1.629115195751777712e-02,4.308259403829000633e-01,-2.521176005317002033e+00,-3.808030831442643649e-01,1.899337685920416519e+01,1.186370513573734575e+00,1.016856047285085829e+00,-1.565663391962457407e-01
