t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
0.000000000000000000e+00,0.000000000000000000e+00,-1.562000000000000055e+00,0.000000000000000000e+00,-2.700000000000000178e-01,0.000000000000000000e+00,3.140000000000000124e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000021e-02,1.559983509866061435e-14,-1.561998594678230434e+00,-1.893208312875893247e-14,-2.699999154439368665e-01,-6.522032171072026709e-14,3.139998665282543122e+00,-8.891951551284465309e-14,4.671764557916641184e-12,4.208590920277664195e-04,-5.669690378718264561e-12,2.532244837712192918e-05,-1.953187232410071592e-11,-3.997148476328696710e-04,-2.662919437627218162e-11,9.310808146824808961e-10,8.387704932769300681e-02,-1.129967033092214110e-09,5.046753870498977765e-03,-3.892694370691440640e-09,-7.966300984582636024e-02,-5.307187827387949538e-09
2.000000000000000042e-02,1.241447197634693826e-13,-1.561988816338368169e+00,-1.506630127622490288e-13,-2.699993270961713598e-01,-5.190284711635102564e-13,3.139989378213065230e+00,-7.076285271626593107e-13,1.855640353280964399e-11,1.671666250578729028e-03,-2.252019794004818655e-11,1.005816035245926112e-04,-7.758124368299909504e-11,-1.587680611635694300e-03,-1.057720419070290250e-10,1.842597801112968979e-09,1.659916778628466039e-01,-2.236191249645598493e-09,9.987465575381868077e-03,-7.703595622133961042e-09,-1.576521441074027752e-01,-1.050286126255690222e-08
2.999999999999999889e-02,4.167874985233598774e-13,-1.561962453414331486e+00,-5.058166012119720843e-13,-2.699977408793219902e-01,-1.742519364261343150e-12,3.139964339780097813e+00,-2.375700910049337471e-12,4.145896617368999149e-11,3.734859204473717133e-03,-5.031492891229950739e-11,2.247207704256147737e-04,-1.733330573394388227e-10,-3.547217361168328829e-03,-2.363173176198797807e-10,2.734688465597646968e-09,2.463562729547056074e-01,-3.318839528399763542e-09,1.482288044252139808e-02,-1.143327864537414879e-08,-2.339791677852002538e-01,-1.558780409546671518e-08
4.000000000000000083e-02,9.827383837126850939e-13,-1.561911469343383541e+00,-1.192659067009508348e-12,-2.699946732456909859e-01,-4.108666094086960653e-12,3.139915917183231819e+00,-5.601637479046861297e-12,7.318587679263048569e-11,6.592999556026006916e-03,-8.881895831117807254e-11,3.966907073421183615e-04,-3.059780054666295067e-10,-6.261762815395338633e-03,-4.171616344420323270e-10,3.607490314442695930e-09,3.249832219525145005e-01,-4.378078748094315514e-09,1.955374379979028798e-02,-1.508231833145858814e-08,-3.086558458796896387e-01,-2.056280011607723231e-08
5.000000000000000278e-02,1.909278706101834483e-12,-1.561828001327396409e+00,-2.317115722780475782e-12,-2.699896511027314316e-01,-7.982377420007526663e-12,3.139836642656615773e+00,-1.088294436779927783e-11,1.135449347647657459e-10,1.022877278104132245e-02,-1.377990299397858017e-10,6.154496258147608076e-04,-4.747125291482466510e-10,-9.714872343485997722e-03,-6.472094432002928949e-10,4.461140853954300135e-09,4.018849122055183076e-01,-5.414075787468866249e-09,2.418080097506127013e-02,-1.865128957143387247e-08,-3.816939433913421609e-01,-2.542863311434831736e-08
5.999999999999999778e-02,3.281774665527852552e-12,-1.561704359094117311e+00,-3.982787663118492900e-12,-2.699822117385148879e-01,-1.372055525677929072e-11,3.139719212292457318e+00,-1.870621140771669656e-11,1.623453145282922718e-10,1.462498822881783817e-02,-1.970235563886207410e-10,8.799631906629265185e-04,-6.787388183784317210e-10,-1.389021896461429574e-02,-9.253730326210667701e-10,5.295777590438638477e-09,4.770737310629613592e-01,-6.426997525263020969e-09,2.870479729620706300e-02,-2.214076725634657861e-08,-4.531052253206284686e-01,-3.018608688023980596e-08
7.000000000000000666e-02,5.183691081525062309e-12,-1.561533023658431940e+00,-6.290968452459142646e-12,-2.699719027471980670e-01,-2.167215216365225849e-11,3.139556484864521657e+00,-2.954719050697127880e-11,2.193975655844683431e-10,1.976457912214617252e-02,-2.662626190355770507e-10,1.189204519984727714e-03,-9.172648120617920524e-10,-1.877159334795892517e-02,-1.250572529330357232e-09,6.111538030201897296e-09,5.505620658740887352e-01,-7.417010840216393582e-09,3.312647809110041280e-02,-2.555132627724330985e-08,-5.229014566680199039e-01,-3.483594520371157674e-08
8.000000000000000167e-02,7.696605143955665132e-12,-1.561306646083632010e+00,-9.340660812953915331e-12,-2.699582819544905088e-01,-3.217822883347478852e-11,3.139341480651632210e+00,-4.387087402949316345e-11,2.845136124976139422e-10,2.563060255730938153e-02,-3.452879680459447849e-10,1.542154185157002585e-03,-1.189504198013400206e-09,-2.434290381270328568e-02,-1.621735897853765503e-09,6.908559679550255073e-09,6.223623039881447383e-01,-8.384282611068586416e-09,3.744658868761401027e-02,-2.888354152517063308e-08,-5.910944024339871428e-01,-3.937899187472345210e-08
8.999999999999999667e-02,1.090022016364038790e-11,-1.561018046242677482e+00,-1.322859331234420022e-11,-2.699409173431214226e-01,-4.557201158179835785e-11,3.139067380261171269e+00,-6.213157317396654505e-11,3.575067548951108706e-10,3.220623950408296743e-02,-4.338730223724100207e-10,1.937800210835317026e-03,-1.494676412958794637e-09,-3.058817632803547543e-02,-2.037798940616491887e-09,7.686980044789894424e-09,6.924868327543743929e-01,-9.328979716559213379e-09,4.166587441362060162e-02,-3.213798789117514830e-08,-6.576958276190012498e-01,-4.381601068323529412e-08
1.000000000000000056e-01,1.487237932298908405e-11,-1.560660211579464329e+00,-1.804923705183522848e-11,-2.699193869783071409e-01,-6.217894983598216925e-11,3.138727523452577994e+00,-8.477299635282566299e-11,4.381916674674033429e-10,3.947479480573492377e-02,-5.317928697550557379e-10,2.375138074953966807e-03,-1.832006642533982078e-09,-3.749155451314836046e-02,-2.497705297943337212e-09,8.446936632227003755e-09,7.609480395220223903e-01,-1.025126903542788424e-08,4.578508059699293309e-02,-3.531524026630345217e-08,-7.227174972235334005e-01,-4.814778541920697814e-08
