t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,tau0,tau1,tau2,tau3,tau4,tau5,tau6
0.000000000000000000e+00,0.000000000000000000e+00,-7.850000000000000311e-01,0.000000000000000000e+00,-2.355999999999999872e+00,0.000000000000000000e+00,1.570999999999999952e+00,7.850000000000000311e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.220446049250313081e-16,-3.180824305444683642e+00,-6.850747565644559334e-01,2.008722847768874331e+01,1.177199975578971713e+00,1.684180799999999811e+00,0.000000000000000000e+00
1.000626390697146413e-03,1.621219173699144064e-08,-7.849999890568468697e-01,8.947367593422983086e-09,-2.356000008816287128e+00,1.453583029569327497e-09,1.570999998101600736e+00,7.850000003770011281e-01,4.857204576608113933e-05,3.278638686256822615e-05,2.680595216902388560e-05,-2.641027254162757140e-05,4.354862083323865806e-06,-5.686048990264585465e-06,1.129525357978913141e-06,9.694707039176510277e-02,6.544171947913129950e-02,5.350102349275557417e-02,-5.269943519687930733e-02,8.691654607878573913e-03,-1.134266578619597642e-02,2.254560754304119237e-03,2.060831248000448979e-01,-2.945819061829623831e+00,-4.893733436841801732e-01,1.989531899033996609e+01,1.160672127094912742e+00,1.587715828339955060e+00,-7.952601735535456962e-02
2.001252781394292826e-03,1.294248497504799436e-07,-7.849999126349618273e-01,7.142415058611741112e-08,-2.356000070354038911e+00,1.160340513693768060e-08,1.570999984857474274e+00,7.850000030098505110e-01,1.937433822208315011e-04,1.307855451927558926e-04,1.069145521731982781e-04,-1.052889543876642882e-04,1.736898301909273187e-05,-2.265495708644392860e-05,4.505798915005176750e-06,1.930780158504458721e-01,1.303441429660129880e-01,1.065387774758616429e-01,-1.048713901684685673e-01,1.730771174977820126e-02,-2.255166220182220835e-02,4.490691856665698228e-03,4.104173232761339496e-01,-2.712914621452886976e+00,-2.953439555258423610e-01,1.970518018885673328e+01,1.144290251115697155e+00,1.492148912113279380e+00,-1.583767631181756674e-01
3.001879172091439021e-03,4.358895767685053876e-07,-7.849997057504645159e-01,2.405346769029483637e-07,-2.356000236850722462e+00,3.907633860908260596e-08,1.570999949044542765e+00,7.850000101374857708e-01,4.346985034562798845e-04,2.934585803563873724e-04,2.398628904291330978e-04,-2.361090209726598326e-04,3.896682429132969095e-05,-5.077318161292138055e-05,1.011040463349500773e-05,2.883950954373452613e-01,1.947087478713420694e-01,1.591145613633185574e-01,-1.565174360677037413e-01,2.584838389971005207e-02,-3.362740983183484800e-02,6.708443592628916992e-03,6.130074675471078871e-01,-2.482107289431419339e+00,-1.029825947332831532e-01,1.951680738798754788e+01,1.128053737943645496e+00,1.397477220076388971e+00,-2.365541064187904330e-01
4.002505562788585651e-03,1.031043089731972079e-06,-7.849993039579664655e-01,5.689207254443300562e-07,-2.356000560017236012e+00,9.242377627052011755e-08,1.570999879573143243e+00,7.850000239804422186e-01,7.706241640408131865e-04,5.202680760554208046e-04,4.251893575813796788e-04,-4.183450198682555124e-04,6.907305999116075549e-05,-8.990760074248698374e-05,1.792497679290721633e-05,3.829005682137660571e-01,2.585370116058156031e-01,2.112296745691266686e-01,-2.076391440475208183e-01,3.431388353168529637e-02,-4.457032926119004757e-02,8.907866247737960749e-03,8.138584378531962260e-01,-2.253393508081331653e+00,8.771485415250293571e-02,1.933019592713039003e+01,1.111961885915771830e+00,1.303697924103822459e+00,-3.140599114842251849e-01
5.003131953485732281e-03,2.009509481686947925e-06,-7.849986433490929727e-01,1.108762827128618374e-06,-2.356001091039483075e+00,1.801218442235826246e-07,1.570999765486607691e+00,7.850000467409028460e-01,1.200709379019175745e-03,8.106780943279472606e-04,6.624336445024301898e-04,-6.514730707831840710e-04,1.076125768168148517e-04,-1.399255134963374371e-04,2.793119998974317081e-05,4.765966932410112822e-01,3.218304115801308152e-01,2.628854165072863069e-01,-2.582380852608557320e-01,4.270442311971511112e-02,-5.538084107484395058e-02,1.108901010753700692e-02,1.012975122444535137e+00,-2.026769852127987548e+00,2.767526214549965724e-01,1.914534116938049024e+01,1.096013904366733183e+00,1.210808199136899521e+00,-3.908960378410905045e-01
6.003758344182878043e-03,3.465102483676961734e-06,-7.849976605510027294e-01,1.911781565934500530e-06,-2.356001880579944974e+00,3.105716145886969371e-07,1.570999595960842043e+00,7.850000806027490619e-01,1.724145423912469641e-03,1.164154175548191145e-03,9.511367422927180645e-04,-9.349708655632693079e-04,1.545104740736237645e-04,-2.006946397440759243e-04,4.011080913754680737e-05,5.694857295803836816e-01,3.845904252049845429e-01,3.140830865917977888e-01,-3.083158308606443465e-01,5.102021513781064554e-02,-6.605936585775271097e-02,1.325192545757023811e-02,1.210362417470072671e+00,-1.802233023978325521e+00,4.641350491644057330e-01,1.896223850058787974e+01,1.080208916550755571e+00,1.118805223132554705e+00,-4.670643405144569438e-01
7.004384734880024672e-03,5.490827726635307748e-06,-7.849962927249102274e-01,3.029238879943390829e-06,-2.356002978779254686e+00,4.920993182446626944e-07,1.570999360303904302e+00,7.850001277316108750e-01,2.340125834718155898e-03,1.580163338426510871e-03,1.290840942280618246e-03,-1.268317668191427895e-03,2.096920636740223374e-04,-2.720831202037126556e-04,5.444558946690471570e-05,6.615699362931861671e-01,4.468185298910740122e-01,3.648239842366614583e-01,-3.578739519998227481e-01,5.926147205998310435e-02,-7.660632419487248268e-02,1.539666258338183609e-02,1.406025226866983724e+00,-1.579779849054933738e+00,6.498665877797614732e-01,1.878088332842447272e+01,1.064545962522739808e+00,1.027686177012293811e+00,-5.425666702225420135e-01
8.005011125577171302e-03,8.178885003277337721e-06,-7.849944775646044981e-01,4.511939362381819804e-06,-2.356004435257769813e+00,7.329565575689295556e-07,1.570999047955584205e+00,7.850001902749176308e-01,3.047846407910052412e-03,2.058174080009398266e-03,1.681089836022446561e-03,-1.650994314787666666e-03,2.730828701375481813e-04,-3.539595164416640548e-04,7.091737652544596621e-05,7.528515724407216503e-01,5.085162030490962826e-01,4.151094088558777151e-01,-4.069140198313268564e-01,6.742840636024365064e-02,-8.702213667115939189e-02,1.752327177051598781e-02,1.599968462250708212e+00,-1.359407271191295674e+00,8.339517931901493375e-01,1.860127108146043895e+01,1.049024001978708265e+00,9.374482446112184508e-01,-6.174048735670440990e-01
9.005637516274317064e-03,1.162067052999276550e-05,-7.849921532949714065e-01,6.410231562663823939e-06,-2.356006299117145097e+00,1.041320519177875741e-06,1.570998648486980453e+00,7.850002703619474165e-01,3.846505200438334830e-03,2.597656375679476947e-03,2.121428315302459778e-03,-2.082483213609084838e-03,3.446086305908418503e-04,-4.461928108727534776e-04,8.950805617784224214e-05,8.433328970842929317e-01,5.696849220897484134e-01,4.649406598634467924e-01,-4.554376055080925356e-01,7.552123051260342668e-02,-9.730722387156962028e-02,1.963180330451686634e-02,1.792197042805737661e+00,-1.141112348087826023e+00,1.016395323594377453e+00,1.842339720824981342e+01,1.033641917055819093e+00,8.480886126271066638e-01,-6.915807932189750318e-01
