t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,tau0,tau1,tau2,tau3,tau4,tau5,tau6
0.000000000000000000e+00,0.000000000000000000e+00,-7.850000000000000311e-01,0.000000000000000000e+00,-2.855999999999999872e+00,0.000000000000000000e+00,2.799999999999999822e+00,7.850000000000000311e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.704849974808570590e+00,-6.850747565529947680e-01,2.036846073043129124e+01,1.032975221404809352e+00,2.284495256808520391e+00,0.000000000000000000e+00
1.000000000000000021e-03,0.000000000000000000e+00,-7.850000132708472300e-01,0.000000000000000000e+00,-2.855999989459155675e+00,0.000000000000000000e+00,2.799999999999999822e+00,7.850000000000000311e-01,0.000000000000000000e+00,-3.978786792289274577e-05,0.000000000000000000e+00,3.160293509304052924e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.947706517574487650e-02,0.000000000000000000e+00,6.312749748244879389e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.442387706903636158e-03,-3.941073453484441380e+00,-6.864908568297021230e-01,2.057919994311764711e+01,1.034822918438640604e+00,2.398912834221045731e+00,8.853135238795495354e-13
2.000000000000000042e-03,0.000000000000000000e+00,-7.850001059694854399e-01,0.000000000000000000e+00,-2.855999915829951608e+00,0.000000000000000000e+00,2.799999999999999822e+00,7.850000000000000311e-01,0.000000000000000000e+00,-1.587570337066292962e-04,0.000000000000000000e+00,1.260984439155512615e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.583628404169084014e-01,0.000000000000000000e+00,1.257853418168586590e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.874047269453727793e-03,-4.175538106730411592e+00,-6.878964744934897846e-01,2.078837191989778788e+01,1.036656948709025139e+00,2.512479205381630276e+00,1.764602353127031620e-12
3.000000000000000062e-03,0.000000000000000000e+00,-7.850003569818123639e-01,0.000000000000000000e+00,-2.855999716454445725e+00,0.000000000000000000e+00,2.799999999999999822e+00,7.850000000000000311e-01,0.000000000000000000e+00,-3.563169415022907028e-04,0.000000000000000000e+00,2.830174563932481087e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.366587938948153114e-01,0.000000000000000000e+00,1.879746991507390552e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.295012624827121428e-03,-4.408246993687662929e+00,-6.892916854701935936e-01,2.099598115282961430e+01,1.038477423939841104e+00,2.625196517123851603e+00,2.639327992270956713e-12
4.000000000000000083e-03,0.000000000000000000e+00,-7.850008446039037358e-01,0.000000000000000000e+00,-2.855999329143184884e+00,0.000000000000000000e+00,2.799999999999999822e+00,7.850000000000000311e-01,0.000000000000000000e+00,-6.318785036322826848e-04,0.000000000000000000e+00,5.018920685993558898e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.143663937807903430e-01,0.000000000000000000e+00,2.496967356315992481e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.705322423291692147e-03,-4.639203252693114621e+00,-6.906765624874890985e-01,2.120203212056408404e+01,1.040284453752299054e+00,2.737066917016885093e+00,3.511871349282102983e-12
5.000000000000000104e-03,0.000000000000000000e+00,-7.850016465434815904e-01,0.000000000000000000e+00,-2.855998692174034126e+00,0.000000000000000000e+00,2.799999999999999822e+00,7.850000000000000311e-01,0.000000000000000000e+00,-9.848541005903358250e-04,0.000000000000000000e+00,7.822555427546096316e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.914871082461583995e-01,0.000000000000000000e+00,3.109526174069486837e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.105019902664100329e-03,-4.868410099417078030e+00,-6.920511751484051954e-01,2.140652928853726777e+01,1.042078145702732828e+00,2.848092553336385002e+00,4.385526664041350386e-12
6.000000000000000125e-03,0.000000000000000000e+00,-7.850028399213829777e-01,0.000000000000000000e+00,-2.855997744291015827e+00,0.000000000000000000e+00,2.799999999999999822e+00,7.850000000000000311e-01,0.000000000000000000e+00,-1.414657581041505428e-03,0.000000000000000000e+00,1.123642307227252970e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.680224054622439955e-01,0.000000000000000000e+00,3.717435106242967247e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.494152764199736083e-03,-5.095870825019399142e+00,-6.934155900039778997e-01,2.160947710915669973e+01,1.043858605319796018e+00,2.958275575035284710e+00,5.264472885402327051e-12
7.000000000000000146e-03,0.000000000000000000e+00,-7.850045012730274552e-01,0.000000000000000000e+00,-2.855996424703138192e+00,0.000000000000000000e+00,2.799999999999999822e+00,7.850000000000000311e-01,0.000000000000000000e+00,-1.920704261822171440e-03,0.000000000000000000e+00,1.525587956533039314e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.439737536003721452e-01,0.000000000000000000e+00,4.320705814311527337e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.872773049933059042e-03,-5.321588794324180860e+00,-6.947698706249880729e-01,2.181088002198165299e+01,1.045625936141041379e+00,3.067618131714485052e+00,6.153745915615793649e-12
8.000000000000000167e-03,0.000000000000000000e+00,-7.850067065498854690e-01,0.000000000000000000e+00,-2.855994673083233515e+00,0.000000000000000000e+00,2.799999999999999822e+00,7.850000000000000311e-01,0.000000000000000000e+00,-2.502410927940038662e-03,0.000000000000000000e+00,1.987629251335230711e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.193426208318673076e-01,0.000000000000000000e+00,4.919349959750261569e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.124093702144768336e-02,-5.545567444013112635e+00,-6.961140776728241830e-01,2.201074245389791884e+01,1.047380239748912478e+00,3.176122373593478265e+00,7.059222130456621613e-12
9.000000000000001055e-03,0.000000000000000000e+00,-7.850095311209465132e-01,0.000000000000000000e+00,-2.855992429566790669e+00,0.000000000000000000e+00,2.799999999999999822e+00,7.850000000000000311e-01,0.000000000000000000e+00,-3.159195832574137296e-03,0.000000000000000000e+00,2.509304118444600877e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.941304753280546080e-01,0.000000000000000000e+00,5.513379204034263292e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.259870504008309133e-02,-5.767810280837426085e+00,-6.974482689694407878e-01,2.220906881928673471e+01,1.049121615806137831e+00,3.283790451480886219e+00,7.987594960456867454e-12
